ID,하천코드,공간정보코드,유일식별자코드,일련번호,고수부지식별자코드,비고
14,1015270,F12,1015270F120000001002,1002,1015270D030000001047, 
48,1024910,F12,1024910F121000000016,1000000016,1024910D030000000004,보완구축
28,1024910,F12,1024910F120000000004,4,1024910D030000000005, 
94,1025540,F12,1025540F120000000003,3,1025540D030000001003, 
2,1025360,F12,1025360F120000000001,1,1025360D030000000002, 
9,1015270,F12,1015270F120000001007,1007,1015270D030000001046, 
15,1015270,F12,1015270F120000001000,1000,1015270D030000001048, 
16,1024910,F12,1024910F120000000016,16,1024910D030000000006, 
60,1005090,F12,1005090F121000000028,1000000028,1005090D030000000002,보완구축
62,1005090,F12,1005090F121000000030,1000000030,1005090D030000000002,보완구축
66,1005090,F12,1005090F122000000004,2000000004,1005090D030000000005, 
69,1005090,F12,1005090F122000000007,2000000007,1005090D030000000001, 
71,1005090,F12,1005090F122000000009,2000000009,1005090D030000000005, 
76,1005090,F12,1005090F122000000014,2000000014,1005090D030000000007, 
63,1005090,F12,1005090F122000000001,2000000001,1005090D030000000001, 
88,1025200,F12,1025200F120000000004,4,1025200D030000000019, 
90,1025290,F12,1025290F120000000002,2,1025290D030000001018, 
19,1024910,F12,1024910F120000000013,13,1024910D030000000006, 
33,1005090,F12,1005090F121000000001,1000000001,1005090D030000000002,보완구축
5,1025271,F12,1025271F120000001011,1011,1025271D030000001049, 
6,1025271,F12,1025271F120000001010,1010,1025271D030000001041, 
13,1015270,F12,1015270F120000001003,1003,1015270D030000001047, 
17,1024910,F12,1024910F120000000015,15,1024910D030000000006, 
24,1024910,F12,1024910F120000000008,8,1024910D030000000002, 
27,1024910,F12,1024910F120000000005,5,1024910D030000000005, 
44,1024910,F12,1024910F121000000012,1000000012,1024910D030000000006,보완구축
54,1024910,F12,1024910F121000000022,1000000022,1024910D030000000004,보완구축
55,1024910,F12,1024910F121000000023,1000000023,1024910D030000000001,보완구축
59,1005090,F12,1005090F121000000027,1000000027,1005090D030000000002,보완구축
64,1000010,F12,1000010F122000000002,2000000002,1000010D030000000010, 
73,1000010,F12,1000010F122000000011,2000000011,1000010D030000000010, 
77,1005090,F12,1005090F122000000015,2000000015,1005090D030000000006, 
80,1005090,F12,1005090F122000000018,2000000018,1005090D030000000010, 
81,1025210,F12,1025210F120000000001,1,1025210D030000000003, 
83,1025210,F12,1025210F120000000003,3,1025210D030000000006, 
39,1005090,F12,1005090F121000000007,1000000007,1005090D030000000002,보완구축
42,1024910,F12,1024910F121000000010,1000000010,1024910D030000000006,보완구축
46,1024910,F12,1024910F121000000014,1000000014,1024910D030000000004,보완구축
65,1005090,F12,1005090F122000000003,2000000003,1005090D030000000005, 
92,1025540,F12,1025540F120000000001,1,1025540D030000001003, 
3,1035233,F12,1035233F120000010001,10001,1035233D030000010008, 
11,1015270,F12,1015270F120000001005,1005,1015270D030000001047, 
18,1024910,F12,1024910F120000000014,14,1024910D030000000006, 
68,1005090,F12,1005090F122000000006,2000000006,1005090D030000000005, 
74,1005090,F12,1005090F122000000012,2000000012,1005090D030000000005, 
20,1024910,F12,1024910F120000000012,12,1024910D030000000006, 
85,1025200,F12,1025200F120000000001,1,1025200D030000000020, 
86,1025200,F12,1025200F120000000002,2,1025200D030000000019, 
91,1025280,F12,1025280F120000000001,1,1025280D030000001015, 
96,1025540,F12,1025540F120000000005,5,1025540D030000001003, 
97,1025540,F12,1025540F120000000006,6,1025540D030000001003, 
1,1015270,F12,1015270F120000001001,1001,1015270D030000001047, 
12,1015270,F12,1015270F120000001004,1004,1015270D030000001047, 
56,1024910,F12,1024910F121000000024,1000000024,1024910D030000000001,보완구축
4,1025271,F12,1025271F120000001012,1012,1025271D030000001041, 
7,1025271,F12,1025271F120000001009,1009,1025271D030000001041, 
8,1015270,F12,1015270F120000001008,1008,1015270D030000001047, 
10,1015270,F12,1015270F120000001006,1006,1015270D030000001048, 
58,1005090,F12,1005090F121000000026,1000000026,1005090D030000000002,보완구축
36,1005090,F12,1005090F121000000004,1000000004,1005090D030000000002,보완구축
40,1005090,F12,1005090F121000000008,1000000008,1005090D030000000002,보완구축
70,1005090,F12,1005090F122000000008,2000000008,1005090D030000000002, 
72,1005090,F12,1005090F122000000010,2000000010,1005090D030000000003, 
75,1005090,F12,1005090F122000000013,2000000013,1005090D030000000001, 
78,1025350,F12,1025350F122000000016,2000000016,1025350D030000000005, 
87,1025200,F12,1025200F120000000003,3,1025200D030000000019, 
25,1024910,F12,1024910F120000000007,7,1024910D030000000002, 
26,1024910,F12,1024910F120000000006,6,1024910D030000000002, 
29,1024910,F12,1024910F120000000003,3,1024910D030000000005, 
30,1024910,F12,1024910F120000000002,2,1024910D030000000005, 
31,1024910,F12,1024910F120000000001,1,1024910D030000000005, 
32,1015270,F12,1015270F120000001013,1013,1015270D030000001041, 
35,1005090,F12,1005090F121000000003,1000000003,1005090D030000000005,보완구축
43,1024910,F12,1024910F121000000011,1000000011,1024910D030000000003,보완구축
49,1024910,F12,1024910F121000000017,1000000017,1024910D030000000001,보완구축
50,1024910,F12,1024910F121000000018,1000000018,1024910D030000000004,보완구축
57,1005090,F12,1005090F121000000025,1000000025,1005090D030000000002,보완구축
23,1024910,F12,1024910F120000000009,9,1024910D030000000002, 
41,1024910,F12,1024910F121000000009,1000000009,1024910D030000000003,보완구축
51,1024910,F12,1024910F121000000019,1000000019,1024910D030000000004,보완구축
52,1024910,F12,1024910F121000000020,1000000020,1024910D030000000004,보완구축
67,1005090,F12,1005090F122000000005,2000000005,1005090D030000000005, 
82,1025210,F12,1025210F120000000002,2,1025210D030000000003, 
79,1025360,F12,1025360F122000000017,2000000017,1025360D030000000001, 
84,1025210,F12,1025210F120000000004,4,1025210D030000000006, 
22,1024910,F12,1024910F120000000010,10,1024910D030000000002, 
37,1005090,F12,1005090F121000000005,1000000005,1005090D030000000002,보완구축
93,1025540,F12,1025540F120000000002,2,1025540D030000001003, 
95,1025540,F12,1025540F120000000004,4,1025540D030000001003, 
89,1025290,F12,1025290F120000000001,1,1025290D030000001020, 
34,1005090,F12,1005090F121000000002,1000000002,1005090D030000000002,보완구축
38,1005090,F12,1005090F121000000006,1000000006,1005090D030000000002,보완구축
45,1024910,F12,1024910F121000000013,1000000013,1024910D030000000001,보완구축
47,1024910,F12,1024910F121000000015,1000000015,1024910D030000000001,보완구축
53,1024910,F12,1024910F121000000021,1000000021,1024910D030000000001,보완구축
61,1005090,F12,1005090F121000000029,1000000029,1005090D030000000002,보완구축
21,1024910,F12,1024910F120000000011,11,1024910D030000000002, 
